Username,Isi komentar,Jumlah like komentar,Waktu komentar
@Little_lapony23,"​ @mr.noviyandrichan7487 iya kan? Anak umur 9 tahun, di kotaku jg ada anak 13 tahun bundir gara2 masalah di sekolah. Tp fokus sy kok anak umur segitu sudah terpikir utk bundir. Yg paling penting sepertinya memang dari keharmonisan keluarga, kedekatan emosional anak dan ortu, dan tontonan anak. Tp gmn ya, gmn ortu bs bahagia kalau ekonomi susah, yg ada malah emosi tiap hari mikirin biaya hidup.",0,1 bulan yang lalu
@Anciawijaya,pemerintah sudah pasti ikut elit global...jangan heran masyarakat indonesia. susah dan miskin sengaja d miskinkan,2,3 minggu yang lalu
@jarangkomen1,Doi buzzer mbg jadi nggk akan peduli😂,19,1 bulan yang lalu
@badutpsikopet2593,"​ @jarangkomen1 hah?? Yakali mau nyalahin buzzer, mau nyalahin prabowo sama jokowi juga, ga nyambung, kenapa ga nyalahin RT, RW, KEPALA DESA??? mereka juga dibayar buat ngatasin hal demikian",10,1 bulan yang lalu
@ruslyadi3349,​ @jarangkomen1 masalahnya ini buku tulis kok lari ke makanan 🤔🤔,3,1 bulan yang lalu
@rohaimanchihasin5549,​ @jarangkomen1 sakit lu ya,0,1 bulan yang lalu
@syan6744,Up,1,1 bulan yang lalu
@anofficial2310,Udah. Banyak yg up..,1,1 bulan yang lalu
@The_pillar8,"Oo itu bukan prestasi tong,yg di up yg prestasi2 aja.biar kesan nya pemerintahan si wowo paling wah. Padahal terburuk setelah wiwi.",1,1 bulan yang lalu
@KaviFM,Seharusnya ada di kontennya  densu,1,1 bulan yang lalu
@youngcellular2884,"Pihak ono sensitiv, ausah",1,1 bulan yang lalu
@sk.adv.,"Mana berani dia sama dengan menampar bos nya 😂😂😂😂 .,,,",1,1 bulan yang lalu
@AgusKalimin,Harusnya bintang tamunya JRX sama DARMA,1,1 bulan yang lalu
@juliusamsyah5630,MBG= MAKANAN BIKIN GADUH,1,1 bulan yang lalu
@IrfanSTR-s1t,Meninggal nya kenapa mas?,1,1 bulan yang lalu
@cipung2010,Nah lo diamuk pendukungnya kan 😅,1,1 bulan yang lalu
@Nabila0205,"Aku justru curiga klo anak trsbut jg mnglami pembulian yg mengakibatkan mentalnya down. Krn utk pkiran anak SD kmungkinan bsar blm memikirkan soal kondisi ekonomi.mungkin awalnya emng krn blm membeli buku,tp stelah itu  ada tekanan dr bberapa pihak/pembulian yg membuat dia malu&down akhirnya nekat mengakhiri hidupnya.",1,1 bulan yang lalu
@magdalenatiakusumawati8543,Mag hapus,1,1 bulan yang lalu
@FansPrabowo08,"banyak orang susah anak nya jadi sukses, tergantung juga anak serta didikan orang tua serta lingkungan, jadi jangan tarik kesimpulan blm tentu pemicu bundir nya akibat dari buku .",1,1 bulan yang lalu
@M.uwais132,"​ @FansPrabowo08 saya waktu kecil klo nulis sll pinjam pulpen teman, tas bolong, sepatu bolong, seragam lecek, uang saku gak ada.  tp Alhamdulillah bisa sampe setahap ini. Bhkan bisa lulus kuliah, walopun dulu nebeng trs",0,1 bulan yang lalu
@anaksulung9242,karena pendidikan no 2 dan kesehatan . no satu itu MBG,1,1 bulan yang lalu
@jamurasap,pemerintah terketuk itu 2 kata lucu,1,1 bulan yang lalu
@HenkyHenky-d3w,"Pemerintah terketuk hatinya? Gak salah tu,emang hatinya pemerintah ada buat rakyatnya?",1,1 bulan yang lalu
@Luvgyuyu_.,UP,1,1 bulan yang lalu
@JOKERW1disayangBUZZER,Undang mendikbud langsung itupun kalo menteri nya berani ke podcast Deddy corbotak buat jelasin knp sampe ada murid miskin yg bunuh diri gara2 gk punya alat tulis🔥🔥🔥🔥🔥🔥,1,1 bulan yang lalu
@adidh04,"Jgn lngsung kepusat donk.. Liat dlu masyarakat sekitar,atau orng"" Terdekatnya dlu..",1,1 bulan yang lalu
@dhaniyunafree3,"Mana berani dia ekspos masalah itu? Pokoknya posisi dia aman, bodo amat dengan semua masalah yang ada !!!",1,1 bulan yang lalu
@awingsarkawing6391,Itu konspirasi elite global,0,1 bulan yang lalu
@pengelanawaktu8282,Hoaks jir itu,0,1 bulan yang lalu
@isaldaus1307,Up,0,1 bulan yang lalu
@Roy69-r4v,Up,0,1 bulan yang lalu
@pancagrahadi,Up,0,1 bulan yang lalu
@septianprayoga8767,Setuju,0,1 bulan yang lalu
@ErfanSetiawan-nj5iu,Up,0,1 bulan yang lalu
@reytakstones641,"Mana brani up dia broo, dia kan teman nya pria sawit😭🤣🤣 Menurut keyakinan saya🙏🙏",0,1 bulan yang lalu
@Republikmafia-v2b,Nyuruh kok sama pendukung kekuasaan,0,1 bulan yang lalu
@mulyadi-cd1zu,Up,0,1 bulan yang lalu
@ibadkumelslengean8154,Up,0,1 bulan yang lalu
@_JO..,Uppp 🥲,0,1 bulan yang lalu
@SALUTE_711,Up,0,1 bulan yang lalu
@endytriyono3034,Up,0,1 bulan yang lalu
@endytriyono3034,Up,0,1 bulan yang lalu
@wahyukarenina4269,Bener saya setuju ini... ❤❤❤❤,0,1 bulan yang lalu
@nanditodwiputra1328,Sedih bjir😢😔,0,1 bulan yang lalu
@Yayan957,Ya nggak mungkin lah berani up bang. Tau sendiri om deddy belum nemu,0,1 bulan yang lalu
@zkyraha2949,"yang di bahas mau apa, 10 menit selesai itu",0,1 bulan yang lalu
