Username,Isi komentar,Jumlah like komentar,Waktu komentar
@ngleeteng705,mrbeast from fortnite,0,2 tahun yang lalu
@ryusahi-dh2qb,Wow,0,2 tahun yang lalu
@le_no_one,Hi,0,2 tahun yang lalu
@wefghgfertyhu,first,0,2 tahun yang lalu
@lenguaentretiene3082,What a good friend,0,2 tahun yang lalu
@janukakhanal-ge7hh,Produce it in nepal,0,2 tahun yang lalu
@vortex_all9055,i wuv yew tew jimmy,0,2 tahun yang lalu
@eliasdeross6339,W,0,2 tahun yang lalu
@antonioanchondo8488,"I know I've bought some shits fire , and the cookies",0,2 tahun yang lalu
@blueyvr7721,I Wuv u too,0,2 tahun yang lalu
@eliasdeross6339,Ww,0,2 tahun yang lalu
@cocooavu2907,W,0,2 tahun yang lalu
@itsrakesh9603,Help me,0,2 tahun yang lalu
@icecream-s3g,Cool,0,2 tahun yang lalu
@wandergamer5505,​ @cokerant  Qqp,0,2 tahun yang lalu
@viviendolaruta,Ven a venezuela san cristobal tachira mrbeast❤,0,2 tahun yang lalu
@recordscuriosity,Jual di Indonesia dong mr. Beast,0,2 tahun yang lalu
@randomdude189,Remember the Viking guy?,0,2 tahun yang lalu
@jadhahahhshss,w,0,2 tahun yang lalu
@jaimemendoza3759,Hey do you have the little Feastables bars at Walmart,0,2 tahun yang lalu
@jaimemendoza3759,Do you have Feastables bars but little ones at Walmart,0,2 tahun yang lalu
@benjaminvance8142,It’s finally at my Walmart! Thank you Jimmy!,0,2 tahun yang lalu
@abderrahmaneserdoune4250,"At least stop waisting monney for non sense things, there is some ppl who can't even find food... ;)",0,2 tahun yang lalu
@corbinemmer5586,and karls mom,0,2 tahun yang lalu
@noemi01,Come to Miami,0,2 tahun yang lalu
@quantum1278,Mr beast I was the first to comment. Are u proud?,0,2 tahun yang lalu
@andupyar5097,lezgooo,0,2 tahun yang lalu
@qarenfarkhaofficial,Amazingg 🎉,0,2 tahun yang lalu
@benzinoelope6155,We want it in india,0,2 tahun yang lalu
@mushroomprincess1709,Can I use ziprecruiter to be mr beasts kid?,0,2 tahun yang lalu
@noemi01,@MrBeast come to Miami please,0,2 tahun yang lalu
@아또실책-2,Yeah,0,2 tahun yang lalu
@lucasrawashdeh4457,what about australia?,0,2 tahun yang lalu
@jaimemendoza3759,W,0,2 tahun yang lalu
@realrandomperson832,early,0,2 tahun yang lalu
@dogday9898,What about deez nutz,0,2 tahun yang lalu
@hlunchhungihluni6796,Mr beast can you sale feastables to India,0,2 tahun yang lalu
@austinb.4230,I’ll give you $20 for the blimp,0,2 tahun yang lalu
@ConstipationOverload,W,0,2 tahun yang lalu
@elvinzs,Z,0,2 tahun yang lalu
@ToddEnergyaquaticcenter,ship some to new zealand,0,2 tahun yang lalu
@rayyanthetechnicalgamer2775,W,0,2 tahun yang lalu
@kiskir,Hello 😀😀,0,2 tahun yang lalu
@Jclipse3rd,I never had a feastable but I always wanted one,0,2 tahun yang lalu
@AlexanderTheCoolGuy,you too,0,2 tahun yang lalu
@Iloveislam786-ali,P,0,2 tahun yang lalu
@lele0316-j4y,3s2o19😅😅❤,0,2 tahun yang lalu
@محمدنشيلي-ن5ي,❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉😂😂😂😂😂😢😢😢😢😢😮😮😮😮😮😅😅😅😅😅😊😊😊😊😊😊😊😊😊😊😊,0,2 tahun yang lalu
@cristinarivera8707,​ @cokerant ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2 tahun yang lalu (diedit)
@Колиндругмиха,Уоокгкшк,0,2 tahun yang lalu
@bumpyandsmoothie,😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬👿👿👿👿👿😡😡👿😡👿😡👿😡👿😡😡👿😡👿😡👿😡👿😡👿😡😡👿😡👿😡👿😡👿😡👿😡👿😡👿,0,2 tahun yang lalu
@Rina.2511,P,0,2 tahun yang lalu
@han3320,0:27,0,2 tahun yang lalu
@semeinyi_podkast,😂😂😂😂😂,0,2 tahun yang lalu
@malekmahmoudmahfouz,Mr beast,0,2 tahun yang lalu
@Sammy-1fan,Me encanta,0,2 tahun yang lalu
@شعلتالنارالملتهبة,😢😢😢😢,0,2 tahun yang lalu
@nuratshittu3617,Mr beast pls come to Nigeria,0,2 tahun yang lalu
@rafabelluzzo9813,❤❤❤❤❤,0,2 tahun yang lalu
@maitreetraiwong766,❤🎉ย่ออีน,0,2 tahun yang lalu
@Policepublic369,Now You are God ❤❤❤❤,0,2 tahun yang lalu
@MariadelcarmenOlverahernandez,Oye mi de vista de que no compiten más carreras con ellos anales de voy a 10 billones para que me,0,2 tahun yang lalu
@mauricioruiz4776,We Want Feastables in México  🇲🇽,0,2 tahun yang lalu
@javierpalenciachacon2551,Iito,0,2 tahun yang lalu
@Charm360,Japan please😢,0,2 tahun yang lalu
@momalmota8485,❤,0,2 tahun yang lalu
@brayanmateus8994,Osod o que eu não etele😮,0,2 tahun yang lalu
@yuri-ul9qv,I'ove you,0,2 tahun yang lalu
@carlosalbertomoralesalvare3180,Hola,0,2 tahun yang lalu
@Jesus_is_king1234,Jesus is king,0,2 tahun yang lalu
@alkahfi7057,NO WA,0,2 tahun yang lalu
@MuhamMed-w5j,J,0,2 tahun yang lalu
@iseminegadjy9508,❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉😊😊😊😊❤❤❤❤❤❤❤,0,2 tahun yang lalu
@diegodavidsandovalvillalob7433,Oye,0,2 tahun yang lalu
@laisinhaiaalves1797,Livia,0,2 tahun yang lalu
@neatstuff-r1h,❤,0,2 tahun yang lalu
@ЛарисаСелезнева-т2е,❤❤❤❤❤❤❤❤❤❤❤ Я не знаю что,0,2 tahun yang lalu
@ElyrikThoren,"VOY A COMER CHOCOLATE DE MR BEAST, Vivo en Peru",0,2 tahun yang lalu
@e-quiel2388,Lleva a mi hijo a disney world  Lo harias tan feliz a mi jaja,0,2 tahun yang lalu
@Fgug-wz5in,Play happy music,0,2 tahun yang lalu
@alessandraamorim3736,Dar para comprar seu chocolate  em outro países,0,2 tahun yang lalu
@mariacampusano4267,MisterBI.  ven a República Dominicana 🇩🇴,0,2 tahun yang lalu
@Kayseny,Aight bet,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@JoMama-ep7rx,W,0,2 tahun yang lalu
@dayanalizethvalenzuela4384,XD,0,2 tahun yang lalu
@Aqwerfds-k5k,It's getting more and more amazing!,0,2 tahun yang lalu
@Samraptor,Hahah,0,2 tahun yang lalu
@CattleyaCardona,0:44,0,2 tahun yang lalu
@тхамоковасафия,Safa,0,2 tahun yang lalu
@felixyDavid,Hola mi niño,0,2 tahun yang lalu
@mdnayeem-yt7ok,Love you 🥰🥰🥰❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2 tahun yang lalu
@nelkysvagelskygontrand,Sauf je ne pas dans le siege,0,2 tahun yang lalu
@Tomi.7000,Rosita e Sta s,0,2 tahun yang lalu
@luzesthervargas5550,Hola,0,2 tahun yang lalu
@Ashraful147,Wow Amazing 😮,0,2 tahun yang lalu
@АмурТасоев,❤❤❤❤❤❤❤🎉🎉🎉🎉😅😅😊😊😊😊,0,2 tahun yang lalu
@zalapao5bath,Mr beast can you give me chocolate,0,2 tahun yang lalu
@Kkemalist,Come to Turkey,0,2 tahun yang lalu
@hifiinjamulhifiinjamul,Urgentlyrequire,0,2 tahun yang lalu
@imari-lifestyle,あミスタービーストさんのちょっとした動画日本人なんですよ,0,2 tahun yang lalu
@Rajameldi5245,Mere ko vahan per khelne aana hai 4:00,0,2 tahun yang lalu
@phenomenalgoods5522,Get it to Mauritius pls,0,2 tahun yang lalu
@МатвейРябов-ь9у,Ты не прочитаешь этот комент ты топ,0,2 tahun yang lalu
@daianaelizabethfernandez97,Hola mister bils,0,2 tahun yang lalu
@mariaalejandrarojasrios5823,te  amo  misterbis    de   salome,0,2 tahun yang lalu
@Cat_921,"Сделайте это в России… из-за перевозок доставками нам приходится переплачивать, люди вас любят!! Вы сможете заработать",0,2 tahun yang lalu
@MatthewF-yu7vf,How do you get feastables at Australia 🇦🇺,0,2 tahun yang lalu
@محمدانس-ب1ص,بد شغل,0,2 tahun yang lalu
@SusmitaSuchi1,Help me,0,2 tahun yang lalu
@MathiasVasquez-cx8so,Hola Mr Best eres mi yutuber faborito co amor Mathias❤❤,0,2 tahun yang lalu
@crackedc0de242,feast,0,2 tahun yang lalu
@Thecrazysisters197,And tesco,0,2 tahun yang lalu
@Faith-p4q,❤😂🎉😢😮😅😊,0,2 tahun yang lalu
@YoBonnieTD,Over the limit?,0,2 tahun yang lalu
@Pizzashorts,W,0,2 tahun yang lalu
