User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
@Hana-o1j1f,​ @Preidith iya saya juga yakin dia gk bundir cuma pengalihan aj,1 bulan yang lalu,YouTube (Epstein Part 2),​ @preidith iya saya juga yakin dia gk bundir cuma pengalihan aj,iya saya juga yakin dia gk bundir cuma pengalihan aj,iya yakin bundir cuma pengalihan
@vidiaanggita2462,L  😊,1 bulan yang lalu,YouTube (Epstein Part 2),l  😊,l,
@mamaznoe,bisa juga kematiannya dipalsukan bang lebih aman begitu buat dia dkk nya,1 bulan yang lalu,YouTube (Epstein Part 2),bisa juga kematiannya dipalsukan bang lebih aman begitu buat dia dkk nya,bisa juga kematiannya dipalsukan bang lebih aman begitu buat dia dkk nya,kematiannya dipalsukan bang aman begitu dkk
@ezra8310,"iya itu kepercayaan lo kok, aman. tapi bukan berarti faktanya seperti itu seperti yg dijelaskan bang hiro diatas. semua files diatas ga disaring sama sekali semua dimasukkin ke files bukti tersebut.",1 bulan yang lalu,YouTube (Epstein Part 2),"iya itu kepercayaan lo kok, aman. tapi bukan berarti faktanya seperti itu seperti yg dijelaskan bang hiro diatas. semua files diatas ga disaring sama sekali semua dimasukkin ke files bukti tersebut.",iya itu kepercayaan lo kok aman tapi bukan berarti faktanya seperti itu seperti yg dijelaskan bang hiro diatas semua files diatas ga disaring sama sekali semua dimasukkin ke files bukti tersebut,iya kepercayaan aman bukan berarti faktanya dijelaskan bang hiro diatas semua files diatas disaring sekali semua dimasukkin files bukti tersebut
@beritamr.x2763,Ini mendunia bukan cuma di Indonesia.,1 bulan yang lalu,YouTube (Epstein Part 2),ini mendunia bukan cuma di indonesia.,ini mendunia bukan cuma di indonesia,mendunia bukan cuma indonesia
@dewamira3128,"​ @beritamr.x2763 ya benar dunia, bukan cmn indo, tapi kan dunia juga bisa buat gebrakan besar dan bisa sengaja di tutupi dengan kasus-kasus begini.",1 bulan yang lalu,YouTube (Epstein Part 2),"​ @beritamr.x2763 ya benar dunia, bukan cmn indo, tapi kan dunia juga bisa buat gebrakan besar dan bisa sengaja di tutupi dengan kasus-kasus begini.",x ya benar dunia bukan cmn indo tapi kan dunia juga bisa buat gebrakan besar dan bisa sengaja di tutupi dengan kasus kasus begini,benar dunia bukan cmn indo dunia gebrakan besar sengaja tutupi kasus kasus begini
@Faizamariska,"sumpah, baru mikir, gimana ya kalau ksus epstein dibhas hiro? eh buka yt langsung ada video iniiii",1 bulan yang lalu,YouTube (Epstein Part 2),"sumpah, baru mikir, gimana ya kalau ksus epstein dibhas hiro? eh buka yt langsung ada video iniiii",sumpah baru mikir gimana ya kalau ksus epstein dibhas hiro eh buka yt langsung ada video iniiii,sumpah baru mikir gimana ksus epstein dibhas hiro buka langsung video iniiii
@nenxfie1256,"😭😭 seorang Billioner dazal di mulut bg Hiro mah jd si Jepri,,, kamanaaa atuuuh Jepriiii.... 😂😂😂",1 bulan yang lalu,YouTube (Epstein Part 2),"😭😭 seorang billioner dazal di mulut bg hiro mah jd si jepri,,, kamanaaa atuuuh jepriiii.... 😂😂😂",seorang billioner dazal di mulut bg hiro mah jd si jepri kamanaaa atuuuh jepriiii,seorang billioner dazal mulut hiro mah jepri kamanaaa atuuuh jepriiii
@rouju,"Hebat pembahasan objektif dan tidak sensational.  Fokus  ke korban. Yg lain biar seru bahas satanik,  kanibal, ini fokus ke korban",1 bulan yang lalu,YouTube (Epstein Part 2),"hebat pembahasan objektif dan tidak sensational.  fokus  ke korban. yg lain biar seru bahas satanik,  kanibal, ini fokus ke korban",hebat pembahasan objektif dan tidak sensational fokus ke korban yg lain biar seru bahas satanik kanibal ini fokus ke korban,hebat pembahasan objektif sensational fokus korban lain biar seru bahas satanik kanibal fokus korban
@dianpramuningsih5586,Anjir gw ngakak.. ko lu bisa tau siih gw lg siangin sayur lodeh ini sambil nonton..🤣🤣🤣 kaya dukun lu anjir...🤣🤣🤣,1 bulan yang lalu,YouTube (Epstein Part 2),anjir gw ngakak.. ko lu bisa tau siih gw lg siangin sayur lodeh ini sambil nonton..🤣🤣🤣 kaya dukun lu anjir...🤣🤣🤣,anjir gw ngakak ko lu bisa tau siih gw lg siangin sayur lodeh ini sambil nonton kaya dukun lu anjir,anjir ngakak tau siih siangin sayur lodeh sambil nonton kaya dukun anjir
@DwiHaraz,Emang udh paling benar si hiro nyebutnya si Jefry wkwkwkwk,1 bulan yang lalu,YouTube (Epstein Part 2),emang udh paling benar si hiro nyebutnya si jefry wkwkwkwk,emang udh paling benar si hiro nyebutnya si jefry wkwkwkwk,emang udh paling benar hiro nyebutnya jefry wkwkwkwk
@mellstanjung,brasa ngegibahin tetangga ujung jalan noh si jepri ono😂😂,1 bulan yang lalu,YouTube (Epstein Part 2),brasa ngegibahin tetangga ujung jalan noh si jepri ono😂😂,brasa ngegibahin tetangga ujung jalan noh si jepri ono,brasa ngegibahin tetangga ujung jalan noh jepri ono
@MouzzhieJuwita,"Segercep ini sudah 2x, biasanya kelewatan terus 😂.",1 bulan yang lalu (diedit),YouTube (Epstein Part 2),"segercep ini sudah 2x, biasanya kelewatan terus 😂.",segercep ini sudah x biasanya kelewatan terus,segercep biasanya kelewatan
@evisolihah7737,bang hiro mewakili bgt netizen emosi nya😭😭😭,1 bulan yang lalu,YouTube (Epstein Part 2),bang hiro mewakili bgt netizen emosi nya😭😭😭,bang hiro mewakili bgt netizen emosi nya,bang hiro mewakili bgt netizen emosi
@aelelel,"kangenn banget nontonin babang glowing, dah sebulanan absen gara-gara pusyingg mikirin skirpsi",1 bulan yang lalu,YouTube (Epstein Part 2),"kangenn banget nontonin babang glowing, dah sebulanan absen gara-gara pusyingg mikirin skirpsi",kangenn banget nontonin babang glowing dah sebulanan absen gara gara pusyingg mikirin skirpsi,kangenn nontonin babang glowing sebulanan absen gara gara pusyingg mikirin skirpsi
@ronaldalex3612,Emang paling gampang nangkapnya kalo babu yg jelasin...bs aja bikin majikan puass 😂,1 bulan yang lalu,YouTube (Epstein Part 2),emang paling gampang nangkapnya kalo babu yg jelasin...bs aja bikin majikan puass 😂,emang paling gampang nangkapnya kalo babu yg jelasin bs aja bikin majikan puass,emang paling gampang nangkapnya babu jelasin bikin majikan puass
