User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
@Ika-v7i,"Tiga juta file dikeluarin semua, selagi kita sibuk milah2 dan berdebat sana sini ternyata kasus yg tersembunyi di baliknya malah gak kesentuh dan tiba2 boom aja gitu😅...nama2 yg ditampilkan semua adalah nama2 yg secara tersirat gak akan mungkin bisa dijangkau hukum jd mau kita war sampe kehabisan nafaspun gak akan bisa masukkan mereka ke jalur hukum, mereka super kaya, satu org aja bisa mengendalikan hukum apalagi ini rombongan, ya pasti gak akan tersentuh, kita cuman kebagian war nya aja, ngabisin nafas aja gak sih🤷, kalau gak hati2 justru malah kita yg terjerumus pemikiran sendiri",1 bulan yang lalu,YouTube (Epstein Part 2),"tiga juta file dikeluarin semua, selagi kita sibuk milah2 dan berdebat sana sini ternyata kasus yg tersembunyi di baliknya malah gak kesentuh dan tiba2 boom aja gitu😅...nama2 yg ditampilkan semua adalah nama2 yg secara tersirat gak akan mungkin bisa dijangkau hukum jd mau kita war sampe kehabisan nafaspun gak akan bisa masukkan mereka ke jalur hukum, mereka super kaya, satu org aja bisa mengendalikan hukum apalagi ini rombongan, ya pasti gak akan tersentuh, kita cuman kebagian war nya aja, ngabisin nafas aja gak sih🤷, kalau gak hati2 justru malah kita yg terjerumus pemikiran sendiri",tiga juta file dikeluarin semua selagi kita sibuk milah dan berdebat sana sini ternyata kasus yg tersembunyi di baliknya malah gak kesentuh dan tiba boom aja gitu nama yg ditampilkan semua adalah nama yg secara tersirat gak akan mungkin bisa dijangkau hukum jd mau kita war sampe kehabisan nafaspun gak akan bisa masukkan mereka ke jalur hukum mereka super kaya satu org aja bisa mengendalikan hukum apalagi ini rombongan ya pasti gak akan tersentuh kita cuman kebagian war nya aja ngabisin nafas aja gak sih kalau gak hati justru malah kita yg terjerumus pemikiran sendiri,tiga juta file dikeluarin semua selagi sibuk milah berdebat sana sini ternyata kasus tersembunyi baliknya malah kesentuh tiba boom gitu nama ditampilkan semua adalah nama secara tersirat mungkin dijangkau hukum mau war sampe kehabisan nafaspun masukkan jalur hukum super kaya satu org mengendalikan hukum apalagi rombongan pasti tersentuh cuman kebagian war ngabisin nafas hati justru malah terjerumus pemikiran sendiri
@NingSih-h1f,"Epstein ini bener2 manipulatif  bgt, g rasa dia sekaya itu pake kemampuan manipulatif dan tau bagaimana menggunakan kemampuan nya, dan g sih skeptis ttg kematian dia, apalgi dia manipulatif dan punya uang bnyk bisa jd dia ga bnr2 meninggal, bisa jadi dia gunakan buat malsuin kematiannya",1 bulan yang lalu,YouTube (Epstein Part 2),"epstein ini bener2 manipulatif  bgt, g rasa dia sekaya itu pake kemampuan manipulatif dan tau bagaimana menggunakan kemampuan nya, dan g sih skeptis ttg kematian dia, apalgi dia manipulatif dan punya uang bnyk bisa jd dia ga bnr2 meninggal, bisa jadi dia gunakan buat malsuin kematiannya",epstein ini bener manipulatif bgt g rasa dia sekaya itu pake kemampuan manipulatif dan tau bagaimana menggunakan kemampuan nya dan g sih skeptis ttg kematian dia apalgi dia manipulatif dan punya uang bnyk bisa jd dia ga bnr meninggal bisa jadi dia gunakan buat malsuin kematiannya,epstein bener manipulatif bgt rasa sekaya pake kemampuan manipulatif tau bagaimana menggunakan kemampuan skeptis ttg kematian apalgi manipulatif punya uang bnyk bnr meninggal gunakan malsuin kematiannya
@alverozafia253,Sumpah cuman bahasanya hirotada aja yang kumengerti❤,1 bulan yang lalu,YouTube (Epstein Part 2),sumpah cuman bahasanya hirotada aja yang kumengerti❤,sumpah cuman bahasanya hirotada aja yang kumengerti,sumpah cuman bahasanya hirotada kumengerti
@leonawirawan5941,"Bang, hati-hati pemilihan kata ya. Kau sebut korbannya ""ketagihan"" lho. Padahal aku nontonin wawancara korban-korbannya nggak ada yang bilang seperti itu. Mereka semua melakukan karena terpaksa dan tidak punya opsi lain. Karena si Epstein sengaja cari korban yang yatim/piatu, broken home, miskin sampai yang udah pernah jadi korban kejahatan seksual sebelumnya.",1 bulan yang lalu,YouTube (Epstein Part 2),"bang, hati-hati pemilihan kata ya. kau sebut korbannya ""ketagihan"" lho. padahal aku nontonin wawancara korban-korbannya nggak ada yang bilang seperti itu. mereka semua melakukan karena terpaksa dan tidak punya opsi lain. karena si epstein sengaja cari korban yang yatim/piatu, broken home, miskin sampai yang udah pernah jadi korban kejahatan seksual sebelumnya.",bang hati hati pemilihan kata ya kau sebut korbannya ketagihan lho padahal aku nontonin wawancara korban korbannya nggak ada yang bilang seperti itu mereka semua melakukan karena terpaksa dan tidak punya opsi lain karena si epstein sengaja cari korban yang yatim piatu broken home miskin sampai yang udah pernah jadi korban kejahatan seksual sebelumnya,bang hati hati pemilihan kata kau sebut korbannya ketagihan lho padahal nontonin wawancara korban korbannya nggak bilang semua melakukan terpaksa punya opsi lain epstein sengaja cari korban yatim piatu broken home miskin pernah korban kejahatan seksual sebelumnya
@nabilahrahmadani5023,Emang babu tamvan ini sungguh pengertian banget deh sama majikan 😊,1 bulan yang lalu,YouTube (Epstein Part 2),emang babu tamvan ini sungguh pengertian banget deh sama majikan 😊,emang babu tamvan ini sungguh pengertian banget deh sama majikan,emang babu tamvan sungguh pengertian majikan
@oqewijayanti5862,Harusnya babu baca smpe 3jt halaman baru bikin pidio 😅,1 bulan yang lalu,YouTube (Epstein Part 2),harusnya babu baca smpe 3jt halaman baru bikin pidio 😅,harusnya babu baca smpe jt halaman baru bikin pidio,harusnya babu baca smpe halaman baru bikin pidio
@sagalaaya1177,Bang Hiro nanti ramadhan ada TC spesial ramadhan yaa.. full 30 hari.. TCnya TC hidayah.. 😊 atau kisah2 islami tp yg bawain bang hiro pasti seru buat nemenin ramadhan.. siapa yg setuju?,1 bulan yang lalu,YouTube (Epstein Part 2),bang hiro nanti ramadhan ada tc spesial ramadhan yaa.. full 30 hari.. tcnya tc hidayah.. 😊 atau kisah2 islami tp yg bawain bang hiro pasti seru buat nemenin ramadhan.. siapa yg setuju?,bang hiro nanti ramadhan ada tc spesial ramadhan yaa full hari tcnya tc hidayah atau kisah islami tp yg bawain bang hiro pasti seru buat nemenin ramadhan siapa yg setuju,bang hiro nanti ramadhan spesial ramadhan yaa full hari tcnya hidayah kisah islami bawain bang hiro pasti seru nemenin ramadhan siapa setuju
@aciaammhar6321,"Emang bener kata orang tua, kalo makan jangan sambil nonton. Rasanya campur aduk, ya marah, nangis, sedih, sakit hati, mual. Ya Allah.",1 bulan yang lalu,YouTube (Epstein Part 2),"emang bener kata orang tua, kalo makan jangan sambil nonton. rasanya campur aduk, ya marah, nangis, sedih, sakit hati, mual. ya allah.",emang bener kata orang tua kalo makan jangan sambil nonton rasanya campur aduk ya marah nangis sedih sakit hati mual ya allah,emang bener kata orang tua makan sambil nonton rasanya campur aduk marah nangis sedih sakit hati mual allah
@fzhrahman8917,"Bang, jangan lupa istirahat 😭😭",1 bulan yang lalu,YouTube (Epstein Part 2),"bang, jangan lupa istirahat 😭😭",bang jangan lupa istirahat,bang lupa istirahat
@indahpuspahati2868,"Yuk guys notice buat semua majikan, mari kita doakan hirotada semoga mendapat kan jodoh secepatnya, yg baik, yg pengertian, yang mampu d ajak kerjasama buat bikin konten, AAMIIN AAMIIN",1 bulan yang lalu,YouTube (Epstein Part 2),"yuk guys notice buat semua majikan, mari kita doakan hirotada semoga mendapat kan jodoh secepatnya, yg baik, yg pengertian, yang mampu d ajak kerjasama buat bikin konten, aamiin aamiin",yuk guys notice buat semua majikan mari kita doakan hirotada semoga mendapat kan jodoh secepatnya yg baik yg pengertian yang mampu d ajak kerjasama buat bikin konten aamiin aamiin,yuk guys notice semua majikan mari doakan hirotada semoga mendapat jodoh secepatnya baik pengertian mampu ajak kerjasama bikin konten aamiin aamiin
