Username,Rating,Isi Ulasan,Waktu Ulasan
Darmawan HP Network,5 bintang,"Icon Jogja yang sayang kalau dilewatkan.penataan bagus, bisa berfoto dgn aman dan nyaman , warga dan pengunjung ramah, kendaraan motor dan mobil juga tdk agresif...pejalan kaki aman dan nyaman, catatan utk parkir 10.000. Terima kasih Ngarsa Dalem Sultan HB X..Jogja istimewa dan ngageni...",2 bulan lalu
sigitdc dwi cahyono,5 bintang,Tugu Mangkubumi Yogyakarta. Tempat ikonik si Yogyakarta. Bisa buat foto² tapi ga boleh dari dekat karena berada di tengah tengah perempatan jalan. Tempat bersejarah di Jogjakarta. Tidak afdhal ke Jogja kalau belum ke tugu Jogja,2 bulan lalu
REZA RISWANDI,5 bintang,"ngga sia sia motoran dari bandung ke jogja ternyata jogja seseru dan seistimewa itu, next time kalo ada kesempatan dan rezeki mau ke jogja lagi",4 bulan lalu
Haris Putro,5 bintang,"Tugu Jogja, Tugu yg Ikonik, ada catatan sejarah di sisi pinggir jalan dari Tugu Jogja. Tujuan utama kalau mau Lari Pagi maupun sekedar berhenti foto",sebulan lalu
Julia Elvananta,5 bintang,"kalau mau nongkrong dekat tugu bisa ke angkringan lina. kalo malam view nya cakep, hatihati ya ini dekat lampu merah juga. kalo pagi ke siang gak begitu rame yang nongkrong disini",sebulan lalu
Legono hadikusumo,5 bintang,"Suasananya asik banget,syahduu..ngopi sambil menikmati pemandangan tugu jogja..",Diedit 2 bulan lalu
Rini Oktafiani,5 bintang,"Yang ke tugu jpgja jgn lupa foto booth di om man caffe, walaupun antri but hasilnya bagus banget sihhhh 🤍",sebulan lalu
Danish Kurniawidi,5 bintang,"Iconik Jogja, sebelum masuk Malioboro selalu lewat sini, dulu selalu di sempatkan foto disini sebelum di pagar, sekarang mau foto takut karena jalannya rame.
Tambah rapi dan bersih",5 bulan lalu
Novan Sundawan,5 bintang,"Malam Tahun Baru di Tugu Jogja selalu meriah, penuh keramaian, dan menjadi salah satu pusat perayaan di Yogyakarta. Ribuan orang berkumpul untuk menikmati suasana pergantian tahun, meski tanpa panggung resmi atau kembang api.",2 bulan lalu
Bond Flow76,5 bintang,Kota yang penuh dengan tradisi dan kearifan lokal yang terus terjaga di tengah perubahan yang datang terus menerus.,2 bulan lalu
Achmad Juanzah,5 bintang,Kota jogya identik juga salah satunya dengan tugu jogya. Pemandangan yang ramai dari keempat sisinya membuat jogya masih kental nuansa keraton jawa karena Tugu ini sebagai simbol.,5 bulan lalu
Muchammad Rohmanu Surya Pratama,5 bintang,"Tempat nya okey banget buat nongkrong santai bareng temen atau doi, bisa photobot juga cuma antrinya lumayan rame di situasi yang biasanya bagus buat photo tapi wort it lah ya soalnya bagus jadinya",sebulan lalu
Nanang S,5 bintang,Nginep di hotel deket tugu pagi2nya jalan2 d tugu masih sepi cocok buat photo2 trus jalan ke arah pasar ada gudeg mak nyus rasanya,2 bulan lalu
Erma Yuliyati,4 bintang,"Iconnya 😍 ke jogja belum lengkap kalau belum foto ditugu ini, ada fotoscape juga ditugu jogja tapi ngantrinya lamaa. Ada alternatif lain ada mas² tukang foto bisa tebus perfoto 5k sangat worthit 🥰",3 bulan lalu
noe,5 bintang,"Dulu ...Tugu ketika kita lewat dicuekin 😄, sekarang berpagar dan lebih besar, back to here after 20 years ago, masih bisa berfoto, banyak yg menawarkan jasa foto, jangan lupa, cari hotel buat nginep deket malioboro, kesini bisa jalan kaki klo hotel deket aatu naik becak",sebulan lalu
Qiyaaa_,5 bintang,"kalau mau tau istimewa nya jogja, kalian harus datang langsung ke tugu jogja ini🤩 …",sebulan lalu
Yunita yasa,5 bintang,"Senang sekali bisa kesini mengajak anak anak  dan menikmati pagii di sepanjang tugu Jogja hingga Malioboro...
Jogja itu memang bukan kota sayaa .

Tetapi tiap ke Jogja mungkin ini salah satu sudut yg membuat kita ingin kesana...
Melihat budayanya dan peninggalan sejarah nyaaaa...

Salut buat Sri Sultan HB yg sudah menjaga jogjaaaaa",2 bulan lalu
Syania Alifia,5 bintang,"bagusss bangett sukaaaa✨✨
lampung-jogja motoran berduaa tuu asikk bangtt apa lg sm org tersayangg🤍 …",sebulan lalu
reki doang,5 bintang,Siapa lagi gak tahu tugu Jogja yang legenda tersebut yang setiap pelepasan tahun selalu dijadikan tempat hiburan bagi muda mudi,2 bulan lalu
Sanjaya Sofian,4 bintang,"tempat ikonik di Yogya.. kecil-kecil cabe rawit, jd daya tarik wisatawan",sebulan lalu
Owen GladSim,5 bintang,"Tempat bersejarah di kawasan jogja kota, mungkin menurut sebagian orang cuma sekedar tugu biasa, tapi bagi penikmat tempat sejarah tugu jogja ini lebih dari pada itu",sebulan lalu
