Username,Rating,Isi Ulasan,Waktu Ulasan
Moch Farhein Ferdinal,5 bintang,"Spot estetik yang hampir pasti dikunjungi ketika sedang berada di jogjakarta, view nya sangat eksotis dan menjadi salah satu landmark yang wajib dikunjungi ketika berada di Jogja. Lokasinya juga berada di pusat kota dan jalan besar. …",2 tahun lalu
Rianan Sari,5 bintang,"Pengalaman pertama ke tugu jogja dimalam tahun baru.. Cari parkir mobil agak susah krna pas rame banget.. Bayar parkir 15 ribu katanya karena tahun baru jadi segitu 😁
Disana ada jasa fotografer 1foto 5 ribu harganya.",2 tahun lalu
Dendy Priatna,5 bintang,"Salah satu tempat yang ikonik banget di kota yogyakarta, kayanya udah jadi kewajiban kalau maen ke yogya harus nyempetin buat dateng ke tugu jogja wkwk.
Tapi saran ku lebih baik malam hari kalau mau main kesini, soalnya nuansa meriahnya lebih kerasa ketimbang di pagi atau siang hari.",5 tahun lalu
Toni W. Pranoto,5 bintang,"Selalu menjadi tujuan yang menarik ketika sedang di Jogja, meski hanya duduk-duduk di pinggiran sambil berswafoto.",2 tahun lalu
Rudian F Noor,5 bintang,"Fasilitas pejalan kaki yg nyaman, apalagi kalo pagi hari menuju Tugu - lanjut kulineran tradisional Gudeg, dll di pasar terdekat",4 bulan lalu
Nico Wijaya,5 bintang,"Minggu lalu, setelah beberapa lama tidak ke jogja, bisa kembali ke jogja.

Lari pagi dari UNY ke Tugu Jogja lanjut ke Nol Kilometer. …",5 tahun lalu
debloeming_,5 bintang,"Tugu ikonik di Jogja🤳 wajib lewat sini, haha. Tp gak boleh foto dideket lingkarannya itu ya karena berbahaya. Jd foto dr jauh aja. Abis dr tugu jogja bisa lgs mampir ke malioboro aja, tinggal lurus nyampe deh✨ …",3 tahun lalu
agus san,5 bintang,"Kesini hari minggu pagi  jam 6
Banyak goweser  yg bersiap-siap start  dari area ini. Tetap hati² saat  berfoto disini karena ramai dg  kendaraan yg melintas",setahun lalu
riski ferianto,5 bintang,Buat yg mengunjungi khusunya orang luaran jogja hal wajib untuk singah dan meresapi selamat berlibur teman Kantor,sebulan lalu
Reza Horisman,5 bintang,"Salah satu icon / landmark nya kota jogja
Terlepas dari Historinya yg sudah jarang orang tau semoga selalu jd kawasan heritage yg slalu dirawat dan jangan sampai dilupakan .. karena ini bagian dari jati …",4 tahun lalu
Na ines (Naino),5 bintang,"cukup menghibur hati dengan suasana yang ramai dan damaii.. sayangnya.. bagi pecinta rokok belum tersedia asbak umum.
masih banyak puntung rokok berkeliaran.",6 tahun lalu
Arif Rachmadi (ardee_map),5 bintang,"salah satu pusat perhatian di jogja , krn letak nya tepat ditengah perempatan jalan raya, jd selalu ramai dan tak pernah sepi.. sering dipakai utk tempat foto, dan juga nongkrong dr segala usia",4 tahun lalu
Liana Puspita,5 bintang,"Tempat nongkrong semua org dan iconic spot di jogja, wajib mampir sih kalau ke jogjaa 🤣 …",9 bulan lalu
Satria Dwi Laksana,5 bintang,"Tugu yang sekarang  merupakan salah satu objek pariwisata Jogja ini awalnya bernama Tugu Golong Gilig. Sekarang dikenal dengan istilah “Tugu Pal Putih”, karena warna cat yang digunakan sejak dulu adalah warna putih. Tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya.

--------

Sejarah Tugu Jogja
Refference: pariwisata.jogjakota.go.id

Tugu Jogja dibangun pada tahun 1755 oleh Sri Sultan Hamengku Buwono I, pendiri kraton Yogyakarta yang mempunyai nilai simbolis dan merupakan garis yang bersifat magis menghubungkan Laut Selatan, Kraton Yogya dan Gunung Merapi.

Pada saat awal berdirinya, bangunan ini secara tegas menggambarkan Manunggaling Kawula Gusti, semangat persatuan rakyat dan penguasa untuk melawan penjajahan.Semangat persatuan atau yang disebut golong gilig itu tergambar jelas pada bangunan tugu, tiangnya berbentuk gilig (silinder) dan puncaknya berbentuk golong (bulat), hingga akhirnya dinamakan Tugu Golong-Gilig.Keberadaan Tugu ini juga sebagai patokan arah ketika Sri Sultan Hamengku Buwono I pada waktu itu melakukan meditasi, yang menghadap puncak gunung Merapi. Bangunan Tugu Jogja saat awal dibangun berbentuk tiang silinder yang mengerucut ke atas, sementara bagian dasarnya berupa pagar yang melingkar, sedangkan bagian puncaknya berbentuk bulat. Ketinggian bangunan tugu golong gilig ini pada awalnya mencapai 25 meter.

Kondisi Tugu Jogja ini berubah total pada 10 Juni 1867, di mana saat itu terjadi bencana alam gempa bumi besar yang mengguncang Yogyakarta, yang membuat bangunan tugu runtuh. Runtuhnya tugu karena gempa inilah yang membuat keadaan dalam kondisi transisi karena makna persatuan benar-benar tak tercermin pada bangunan tugu.

Pada tahun 1889, keadaan Tugu benar-benar berubah, saat pemerintah Belanda merenovasi seluruh bangunan tugu. Kala itu Tugu dibuat dengan bentuk persegi dengan tiap sisi dihiasi semacam prasasti yang menunjukkan siapa saja yang terlibat dalam renovasi itu. Bagian puncak tugu tak lagi bulat, tetapi berbentuk kerucut yang runcing.

Ketinggian bangunan pun menjadi lebih rendah, yakni hanya setinggi 15 meter atau 10 meter lebih rendah dari bangunan semula. Sejak saat itulah, tugu ini disebut sebagai De White Paal atau Tugu Pal Putih. Perombakan bangunan Tugu saat itu sebenarnya merupakan taktik Belanda untuk mengikis persatuan antara rakyat dan raja, namun melihat perjuangan rakyat dan raja di Yogyakarta yang berlangsung sesudahnya, akhirnya upaya tersebut tidak berhasil.

Jadi, kapan kalian ke Jogja?!",Diedit 2 tahun lalu
rudi hartono,4 bintang,"Bagus, akhirnya bisa nyampek ke Jogja",3 minggu lalu
Alfin Yusuf Zain,5 bintang,setiap liburan ke Jogja gabakal absen dari spot Tugu Jogja ini 💯💯 …,8 bulan lalu
Vito Prayogo,5 bintang,"Lokasi wajib kalau ke yogyakarta, klau belum ke tugu berarti belum ke yogyakarta. Pengen balik lagi kapan2, suasana yang dirindu.",9 bulan lalu
Agro Edutika,5 bintang,Masih menjadi tempat ikonik. Asyik buat nongkrong sambil makan aneka gorengan.,setahun lalu
Amalia Nice,4 bintang,Foto pertama diambil pada saat tahun 2019 mengunjungi Yogyakarta pertama kali sebagai solo traveler dan foto ke dua dan ke tiga di ambil pada tanggal 02 November 2022 terlihat jelas perbedaan pada ke tiga foto tersebut bahwa Yogyakarta kini …,3 tahun lalu
vw tour jogja safari,5 bintang,"Tempat yang sangat bersajarah tidak lekang oleh waktu bagi kaum milenial maupun kaum nostalgia.Makin hari makin cantik untuk spot foto, terutama pakai vw safari.",Diedit 3 tahun lalu
irvan renaldi,4 bintang,Selesai nyubuh..langsung lari pagi kesni..,2 bulan lalu
Novii Indria,5 bintang,"1. Ramai utk waktu weekend, macet
2. Banyak warung kopi yg bisa dijadikan tempat nonton kemacetan tugu jogja",2 tahun lalu
Amang Aini,5 bintang,Mau hari biasa atau libur tetap rame..,2 bulan lalu
Rio Andrika,5 bintang,"Best landmark in town. Tugu jogja formely bisebut juga tugu gologilig. Tugu yang sekarang, bentuknya sudah berubah dari yang sebenarnya. Tapi jangan khawatir, kamu juga bisa melihat tugu jogja pada jaman dulu di pojok tenggara perempatan …",4 tahun lalu
nor kholis,5 bintang,Datang pas ga terlalu sangat rame,6 bulan lalu
Andri Prams,5 bintang,ini adalah tugu yang menurut saya menyimpan sejuta keindahan kenyamanan dan ketenangan ditengah ramainya kota Yogyakarta,sebulan lalu
Mohammad Subkhi,5 bintang,Enak benget pulang kerja ngopi di emperan tugu jogja ditambah suasana habis hujan cocok buat merefresh diri😁,10 bulan lalu
Dwi 2629,5 bintang,"2017 k sini dan belum d pager, dan sekarang 2023 Dateng lagi, stay d hotel Rene, jalan kaki 5 menit nyampe tugu, k sini juga jam 2.30 pagi di karenakan laper, makan di angkringan kemudian fotoan di tugu, suasananya hening dan damai, banyak satpol PP di sekitar tugu menambah keamanan tugu Jogja",2 tahun lalu
Yoga.173__,5 bintang,"Monument tugu jogja, salah satu icon paling sering dikunjungi oleh wisatawan dalam/luar kota. Mungkin belum lengkap kali ya kalo belum ke tugu jogja ini. btw ini pov tugu jogja dari oman coffee ya",10 bulan lalu
Diki Hermawan,5 bintang,"Sangat merindukan, jogja adalah kota kenangan , karna disitu terlukis antara candu dan rindu",setahun lalu
Benny Okashii,5 bintang,"Lokasi yang diincar para wisatawan untuk Spot foto terbaik di sini dan di daerah Jogyakarta salah satu ikon di kota Jogjakarta, nggak jauh dari situ juga ada beberapa kuliner yang terkenal contoh salah satunya adalah angkringan mas Bagong …",5 tahun lalu
Angela Merry Krisdiana,5 bintang,"Seperti biasa, tugu sangat indah di pagi siang atau malam hari dan lalu lintas disekitarnya sangat ramai",setahun lalu
Mochammad Hury,5 bintang,"Beberapa kali gw ke jogja baru kali ini nyambangin ini tugu untuk foto, ya ngikut biar kekinian sih.
Tugu ini punya sejarah ternyata pada jaman penjajahan yang dimana tugu itu tidak …",6 tahun lalu
Ye Bagus,5 bintang,Seru ambil video dg drone di Tugu Jogja ikon kota Jogja,8 bulan lalu
Willy Lee,5 bintang,"tempat foto paling ekstrim dijogyakarta, karena tempatnya ditengah jalan simpang 4 jalan, jadi setiap mau ambil foto, harus liat arus dulu, kira kira lampu merah mana yang berhenti baru bisa ambil foto, banyak juga yang foto foto disini dan juga dijadikan tempat tongkrongan bagi anak anak muda diyogyakarta",6 tahun lalu
Dhianfa MUA,4 bintang,"Sayang banget buka nya jam 7.30
Matahari sudah naik
Pdhal enaknya foto k.lo msh teduh
Ada kabut2nya pasti fotonya lbh bagus",setahun lalu
Febry nsy,5 bintang,"Bagi yg mau berdiam lama disini vanyak tempat makan, nongkrong atau coffee shop disekitaran area tugu ini, ada yg viewnya langsung menghadap tugu untuk price list kalian bisa search by google ya karna harga bervariasi, dan bagi yg sekedar foto saja disediakan kursi di sepanjang jalan area tugu",setahun lalu
Serlina Febrianti,4 bintang,"Panas bgt, kurng pohon jdi trasa udara nya berat krna bnyak polusi juga",10 bulan lalu
Hana Anggraini,5 bintang,"Iconic Jogja yang keren banget. Dan bener"" seri. Vibes nya kerasa banget. Apalagi deket bgt dengan pusat oleh"" yang murah meriah.",2 tahun lalu
Ariska Putri,5 bintang,Jogja istimewa sekali bikin rindu terus ..,2 bulan lalu
Andri Ragil,5 bintang,"Banyak usaha UMKM yang berkembang dan ekonomi terangkat, spot fhoto yang jadi trending di kota Yogja, untuk perdagangan kuliner sekitaran harga mohon untuk ditegakkan dan ramah harga, jangan ngentoll",4 tahun lalu
Yuda W Putra,5 bintang,Tempat paling iconic di Jogja karena menjadi ciri khas Jogja. Orang bilang belum ke Jogja kalau belum berfoto di sini. Selain berfoto foto disini banyak yang bisa dilakukan seperti mencoba kuliner angkringan khas sekitaran Tugu yang …,6 tahun lalu
- twilight -,5 bintang,"Tidak ada habisnya bahan buat cerita di tempat ini.. spot poto tinggal pilih, mau di sisi mana aja.. jajanan angkringan tinggal pilih, ada ratusan menu tentu saja..",2 tahun lalu
Dicky Purnama,5 bintang,Tugu Jogja merupakan sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari kota Yogyakarta. Tugu ini merupakan sebuah bangunan monumen bersejarah yang terletak  tepat di tengah perempatan antara Jalan Pangeran …,6 tahun lalu
Anton MEP,5 bintang,"pasti yg kejogja tidak lupa berkunjung ke tempat ini.
padahal tempatnya kecil tetapi tempat ini yang selalu banyak dikunjungi dan ramai. …",6 tahun lalu
stefani ruswanti,5 bintang,Seneng banget padahal malem hari biasa (weekday) tapi ada live music dan banyak orang asing dan local nongkrong. Baik2 pula mereka kasih saya tempat duduk. Bisa sambil jajan dari minimarket/angkringan terdekat. Saya parkir di seberang …,setahun lalu
uky dafone,5 bintang,Icon kota tercinta Yogyakarta. Bersih dan sedap dipandang. Kalau kl k jogja wajib foto kesini. Ramai tiap malam banyak anak muda maupun tua nongkrong d cafe sekitaran tugu yogja. Bagus dan bersejarah,2 tahun lalu
Giman Giman,4 bintang,"Alhamdulillah bisa mampir ke Tugu, waktu ngantar istri ke RS Sardjito Yogyakarta radiasi nuklir",setahun lalu
Nur Andono BS,5 bintang,"Landmark paling ikonik kota Jogja, setelah bolak-balik ""grenengan"": bangunan cantik nan ikonik serta bersejarah kok dipagari ""hanya"" dengan pembatas ""proyek"" atau kadangkala ""hanya"" traffic cone yang kelihatan sekali sekadaranya dan kurang …",Diedit 4 bulan lalu
Herman Subekti,5 bintang,"selalu dikunjungi jika mampir di Jogja, tiada oernah sepi bahkan ketika di tengah malam",7 bulan lalu
Friska Yohana,5 bintang,"Tempat iconic ini tentunya wajib dikunjungi kalau ke jogja hanya untuk berfoto. Tapi jangan salah lhoo, sekarang banyak sekali kafe untuk nongkrong di sekitarnya. …",3 tahun lalu
Cheryle Azzahra,5 bintang,cakep ni tempat kalo sore-malam,2 bulan lalu
wisnutio_,5 bintang,"Tugu Jogja adalah salah satu icon kota Yogyakarta yang berada di rute jalan solo. Tugu Jogja selain menyajikan bangunan berbentuk tiang dengan ujung lancip juga dikelilingi banyak penjual dan spot foto yang bagus. Dan sangat nyaman untuk digunakan nongkrong, maupun mojok.",6 tahun lalu
Nurul Nugraha,4 bintang,"Sungguh Monumen yg sangat bersejarah khusus nya buat orang jogja...
Ga lengkap rasanya ke jogja kalau ga mampir kesini",2 tahun lalu
Deri,4 bintang,"Salah satu monumen khas yang istimewa di yogya, tempat wisata Yang wajib dikunjungi saat ke Yogyakarta hanya saja sedang direnovasi dan belum optimal tapi kalau minta izin buat foto si boleh, lebih indah kalau datang kesini malam pulangnya langsung angkringan dan ngopi",5 tahun lalu
FReddy _Surbakti,5 bintang,"📌 Jl. Jend. Sudirman, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233 …",setahun lalu
Guide Local,5 bintang,"Seri g kesini, tapi baru inget kasih ulasan sekarang.

Semoga selalu terjaga kebersihan dan ketertiban disini. Aamiin .",9 bulan lalu
Lasman Ibrahim,5 bintang,Kalian klo pertama ke sini pasti mau ke sini lagi,2 bulan lalu
arie wijanarko,4 bintang,"Tugu ikonik tempat Yogya berada selain malioboro, gagah bersejarah namun lalu lintas zaman sekarang terlalu ramai sehingga mengurangi kesakralannya",2 bulan lalu
Muharrik Abdullah mahmud,5 bintang,"Tugu jogja dan sekelilingnya adalah tempat yang sangat dapat membuat kita candu untuk selalu ke sana,banyak tempat untuk menikmati sekeliling monumen tugu Yogyakarta entah itu dalam bentuk coffe shop atau bahkan angkringan lesehan,wajib bnget mampir ke sini kalau maen ke Yogyakarta!",4 tahun lalu
Ujang Waluyo S,5 bintang,"Bagus, sekarang di pagari ada miniatur nya antara tugu sampai Kraton, jos gandos...",11 bulan lalu
JRT WAHYUDI,5 bintang,"Tujuan pertama ketika masuk Jogja karena impian anak pertama ketika jalan jalan ke Jogja,pengen foto di sini.",7 bulan lalu
Fachri Valeriandra Herman,5 bintang,"Keren, asyik, monumen penuh dengan sejarah jadi mengajarkan kita para mahasiswa/i mengetahui sejarah dulu kala mengenai VOC dan gempa yang pernah terjadi di DIY Yogyakarta",4 tahun lalu
Danish Haziq,5 bintang,"Suasana malam di tugu jogja yang sangat memorable, sudah lebih dari 10 tahun merantau dijogja banyak sekali kenangan yang tersimpan di jogja apalagi ditugu. …",setahun lalu
Darsono,5 bintang,"Jogja punya cerita, tiap sudut membuat kenangan yg ga akan pernah larut. Seperti seolah waktu membeku, menjebak ingatan bersama waktu",9 bulan lalu
In Quest,5 bintang,"Landmark jogja, berada hanya 500 meter dari malioboro, jadi lurus dengan keraton jogja. Karena berada di perempatan jalan utama jogja, datang pagi-pagi kalau mau foto-foto disini, sebelum rame lalu lintasnya. Motor atau mobil bisa di parkir …",Diedit 6 tahun lalu
yurista sulis,5 bintang,"Tempat bersejarah yg tidak bisa tidak dikunjungi jika berlibur ke Yogya. Terletak di pusat kota dan menjadi salah satu tempat favorit untuk ambil foto, kongkow2. …",Diedit setahun lalu
Matchalatte Arfsh,5 bintang,"Ke tugu waktu malam tahun baru, ramai orang duduk menunggu kembang api dipergantian tahun baru",setahun lalu
R L,5 bintang,"Gak lengkap rasanya kalo maen ke Jogja gak lewat tugu, kurang afdhol. ✌",6 bulan lalu
Van March,5 bintang,"Dari Jakarta ke Jogja 12 Jam perjalanan melewati jalur pantura hari weekday jalanan begitu lowong tapi agak boring karena kurang pemandangan 😂, sampai di Jogja untuk foto ke tempat ikonik ini agak nekat berhenti dibahu jalan tapi hasilnya menjadi kenang-kenangan yg begitu indah. I Love Jogja ❤ …",setahun lalu
Hendi Irawan,5 bintang,Omah Konco (Homestay) yang Berlokasi di Pagar Jaya Simpang Tugu Jip berjarak 5 Menit dari Kawasan Gunung Dempo.,2 bulan lalu
Isna,5 bintang,"Tugu Pal Putih atau yang dulu namanya golong giling ini merupakan ikon Yogyakarta. Dimana tugu ini berada di pusat kota, banyak wisatawan yang berkunjung ke Jogja dan berfoto dengan Tugu Pal Putih. …",2 tahun lalu
Ivan Pramoedya Wardhana,5 bintang,olahraga pagi malioboro - tugu,sebulan lalu
noniie sally,5 bintang,"Walaupun siang hari panas2an ttp bisa dpt foto yg oke, parkir jg dkt pasar",2 tahun lalu
Nurainun Yusdi,5 bintang,"Nongkrong di pinggiran tugu, emang seenak itu. Ini aku duduk pas depan cafe kebon dalem disitu ada kursi tapi kosong gak ada yg duduk disitu jadi enak sih nongkrong cuman ya kalau ada bis sama mobil solar lewat rada berasap ya wkwk.",2 tahun lalu
Tasenwo,5 bintang,Walau hanya lewat sesekali tapi tempat ini keren banget,5 bulan lalu
Sinta Mutohharoh,5 bintang,"Ikon dari Kota Jogja, selalu ramai bahkan di hari kerja sekalipun. Tempat yang d kunjungi oleh hampir setiap orang yg berwisata ke Jogja. Salah satu spot foto yang cantik,",2 tahun lalu
Ery Muluverie,5 bintang,Sebelum ke Malioboro. Mampir sini dl buat foto2. Sekarang rame banget walau ud malam. Bisa menikmati kopi jos yg diangkringan sini. Udah lama banget g ke Jogja. Sampai malam pun masih byk yg nongkrong. Rame banget..  Jogja emang istimewa. Bisa buat jalan2 kesini ya gratis. Cuma bayar parkir aja. Banyak penjual oleh2 . Batik dan kaos byk pilihan. Mo kulineran juga banyak. Parkir e sampai Bank Indonesia. Dan kantor pos. Maju dikit udah sampai keraton Jogjakarta,5 tahun lalu
Amelia abd. karim,5 bintang,Cakep syahdu gerimis tipis² ditemani cappuchino panas😁,5 bulan lalu
Ari Yulianto,5 bintang,Waktu terbaik untuk mengunjungi tempat ini adalah malam hari berawan. Cahaya-cahaya lampu khas perkotaan menambah rasa tenteram. Sesekali dapat kau temukan beberapa pelari sejenak mencari keringat. Angkringan atau hanya sekedar duduk santai juga pilihan yang menarik. Wisata murah meriah hanya dengan menyaksikan monumen ikonik di tanah Sultan. Cobalah pengalaman baru dengan berjalan sepanjang kurang lebih 4 kilometer dari Tugu sampai ke Nol KM. Kamu akan benar-benar larut dalam kedamaian sekalipun ruang begitu amat ramai.,3 tahun lalu
Prita Dewi Mariyam,5 bintang,"Belum k jogja klo belum k tugu icon kota jogja ini
Kesini sore2, bs duduk2 n ngopi dikafe sekitarnya",setahun lalu
mohamad fatik,5 bintang,"Tugu yang merupakan ikon Kota Jogjakarta, sempat ambil foto di sini pas jogging pagi dari Hotel Jayakarta sampai Malioboro.
Perempatan tugu yg cukup ramai oleh orang lalu lalang. Cukup banyak juga ketemu orang yang olah raga. Individu ataupun yang berkelompok. Orang jogging, naik sepeda, ataupun hanya jalan kaki
Sempat beli tanget di pojokan arah Malioboro sambil lihat orang lalu lalang. Vibes Jogja berasa banget, adem ayem",3 tahun lalu
Setyo Nugroho,5 bintang,"Yogyakarta selalu punya tempat spesial di hati para pelancong.  Suasana budaya yang kental berpadu dengan keindahan alam yang memikat.  Mulai dari keraton yang megah, candi-candi kuno, hingga wisata alam yang menyegarkan.  Liburan ke Yogyakarta pasti jadi pengalaman tak terlupakan.",setahun lalu
Rochdian Ero,5 bintang,"Tempatnya enak asri dan luas, cocok banget buat nongkrong samb nostalgia di kampung... makanan minumanya enak dan murah, rekomendasi soda gembira sama chiken burgernya!!!",setahun lalu
Adit Hikmattiar,5 bintang,"Entah mengapa bisa dibuat senyaman itu oleh kota Jogja. sesuai namanya Daerah Istimewa, dia istimewa menurut saya. Ketika saya sampai di jogja itu bener-bener bikin suasana hati tuh adem. Ngopi di tempat duduk malioboro sambil melihat lingkungan sekitar itu udah wah banget bagi saya. Ketika saya nyasar pun masih banyak warga sekitar yang ramah mau membantu dan murah senyum",2 tahun lalu
Bagustianaji,5 bintang,"Tugu yogya emang indah banget, tempatnya juga bersih",4 bulan lalu
Jelita,5 bintang,4 tahun kuliah di jogja blm pernah foto di tugu. Setelah 9 tahunan baru foto di sini. Kali ini udah menyandang status istri orang. Hehe. Skrg tugu nya udh di pager jd gk bsa foto deket2 tugu. Suasana jogja selalu bikin kangen pokoknya. Kebetulan pas nginep di hotel deket tugu jd slse sarapan lgsg jalan ke tugu..,3 tahun lalu
explore jogja (explorejogja.ig),5 bintang,"Kata orang, gak sah ke Jogja kalau gak foto di tempat ini.
Sesempit apapun waktu anda di Jogja, coba deh sempatkan diri ke tempat ini.
Rasakan bahwa begitu istimewanya kota jogja.
Yang nantinya menjadi kenangan untuk dilupakan atau diingat kembali.

Satu kata untuk Jogja ...
Istimewa.
Salam Sedhulur
Salam Istimewa ✊",6 tahun lalu
mandor film,4 bintang,belum lengkap rasa ny ke jogja jika belom foto di tugu jogja yang ikonik ini.. tempat ini slu rame. maka ny saya dateng malem2 sklian mencari makan di angkringan sekitar. menikmati kopi joss malam di kota jogja... asik buat nongkrong malam di sini bersama kawan2...,6 tahun lalu
wirawan wicaksono,5 bintang,"icon kota jogja yang ga pernah sepi pengunjung
baik siang maupun malam

mitos berkata, kalo orang pernah ke tugu jogja, suatu saat pasti akan kembali kesini lagi

entahlah 😂✌️",2 tahun lalu
Vivi anita,5 bintang,Icon yogya yg berdiri kokoh di antara hiruk pikuk kehidupan,4 bulan lalu
Eko Prastiwi,5 bintang,"Salah satu icon kota jogja dan merupakn sumbu filosofis kota jogja, tugu jogja selalu rame lalu lalang kendaraan bermotor dan merupakan tempat wisata, banyak wisatawan berfoto d area tersebut, selain icon kota jogja, sekitaran tugu jogja jg banyak cafe maupun kuliner yg terletak d lantai2 atas pinggiran tugu,dr atas kita bisa melihat keramaian kota jogja dan tugu jogja",setahun lalu
ambar megasari,5 bintang,"Tugu jogja selalu menjadi icon untuk kota Jogja. Kalau sudah lewat sini rasanya berasa, welcome to Jogja. Hehehe
.
Bisa menjadi salah satu spot foto yang Jogja banget. Banyak juga yang pre wedding di sini. Baiknya kesini kalau sore, lebih syahdu rasanya.",3 tahun lalu
Uni Istifadatur Rofiah,4 bintang,"parkiran cuma sampe jam 1 malem
bingung mau motret kebersamaan? ada fotografer disekitar",setahun lalu
Irfan Dwi Purnomo,5 bintang,"""Tugu Yogyakarta adalah salah satu ikon kota yang sangat ikonik dan bersejarah. Saya sangat terkesan dengan keindahan dan makna yang terkandung dalam tugu ini. Tugu yang terletak di persimpangan jalan utama kota Yogyakarta ini memiliki desain yang sederhana namun elegan.

Saya suka mengunjungi Tugu Yogyakarta karena lokasinya yang strategis dan mudah dijangkau. Dari sini, saya bisa menikmati pemandangan kota yang indah dan mengabadikan momen-momen spesial. Tugu ini juga menjadi titik pertemuan yang populer bagi warga kota dan wisatawan.

Tugu Yogyakarta memiliki makna yang dalam sebagai simbol kota Yogyakarta. Saya merasa terinspirasi oleh keindahan dan sejarah yang terkandung dalam tugu ini. Jika Anda berkunjung ke Yogyakarta, jangan lupa untuk mengunjungi Tugu Yogyakarta dan menikmati keindahan kota dari sini. Saya yakin Anda akan terkesan dengan keindahan dan makna yang terkandung dalam tugu ini.""",10 bulan lalu
Herm Alfata,4 bintang,"Tugu Jogja menjadi wisata paling wajib dikunjungi jika berwisata ke Yogyakarta. Bundaran tugu ini menjadi saksi sejarah berdirinya kota Yogyakarta.

Saat ini, disekeliling Tugu Jogja disajikan banyak wisata kuliner khas Jogya di malam hari. Selain itu, ada juga jasa kreatif foto. Cukup dengan membayar 10K sudah bisa berfoto dengan pilihan tema yang disediakan pelayanan jasa ini. Namun, untuk bisa mengambil spot yang bagus harus menunggu momen pas (jalan raya selalu padat sampai hampir tengah malam).

Disisi tugu Jogja juga berdiri monumen Tugu Jogja yang menjelaskan secara lengkap sejarah berdirinya tugu Jogja/ Herm_Alfata.",Diedit 7 tahun lalu
Media Rumah Anak Surga,5 bintang,Makin malem makin cakep viewnya💫 …,2 bulan lalu
Adestya Wahyu Irawan,5 bintang,"Tugu Ikonik Jogja

Sayang Rasanya jika tidak menyempatkan Foto² disini.
Tempat ini selalu ramai oleh kendaraan dan wisatawan yang Hadir untuk Mengabadikan momen dalam bentuk foto.

Tempat ini Lumayan Bersih dan Terawat

Hanya Saja tidak menemukan Tempat sampah disekitar Kursi duduk. Berharap ada Evaluasi dari Pemerintah DIY agar menambahkan Tempat sampah seperti Tempat² Wisata lain",3 tahun lalu
Vina Disable,5 bintang,"Kalo ke jogja wajib foto disini ga sih, buat bukti hidup aja wkwk",8 bulan lalu
Me Min,5 bintang,"Perasaanku selalu menghangat kalau sudah sampai di tugu ini, karena aku tahu aku lagi menikmati indahnya Yogyakarta",3 bulan lalu
Devano Ramadhanto,5 bintang,"Tempatnya bagus banget buat berfoto ,apalagi di bagian pojok ada cafe dan sekitar jalan banyak ditemukan angkringan dengan konsep modern. Pada pojok sebelah selatan terdapat monumen golong gilik yg menjadi tugu pertama sebelum tugu Jogja dan terdapat peta 2D mengenai penggunaan garis imajiner di kota Jogja",3 tahun lalu
Rifcky Fahmi,5 bintang,Salah satu ikon dari Kota Yogyakarta. Bagi wisatawan belum ke Yogyakarta kalau belum mampir dan berfoto disini.,7 bulan lalu
Andrew E K,5 bintang,Patokan arah kalo ke pusat yogya. Dari situ silahkan nilmati sekeliling sesuai anggaran dan waktu.,sebulan lalu
Fitrina Rachmadanty,5 bintang,"Siapa yg ga jatuh cinta sama tempat ini? Tugu jogja selalu menyimpan banyak kenangan. Icon utama kota jogja, wajib foto disini kalau datang ke Jogja. Kalau pagi2 lewat sini dapet pemandangan cantik kayak gini. Selama PPKM akses ke arah jl mangkubumi dibatasi jadinya bisa mudah berfoto di depan tugu.",4 tahun lalu
Hudarasegar,5 bintang,"Kota Jogja selalu membuat rindu untuk kembali, keriwrhan pagi hari sabar mengantri dijalan, siang hari kulineran yang beuh memanjakan lidah, sore hari berkeliling kota, dimalam ke Malioboro + minum kopi Joss yang beuh baru pertama kali nyoba langsung ngeyan dan ya setiap yang berkunjung ke Jogja harus menyempatkan berfoto di tugu ini. Khas Jogja yaa, strategis di tengah perempatan tapi masih bisa kita foto foto. Ada angkringan juga di dekat situ, beuh enak lah. Pokok nya bakalan balik lagi ke Jogja dalam waktu dekat, semoga Jogja dapat menerima kehadiran ku kembali. Salam rindu dari Pontianak 🌱",6 tahun lalu
Firdaus Farisqi,5 bintang,"Walaupun bukan titik nol Jogjakarta tapi tempat ini penuh sejarah, banyak kuliner dan hotel juga di sekitarnya",2 bulan lalu
Irma Harris,5 bintang,"Jalan2 pagi menuju tugu jogja dari hotel di Malioboro sangat dekat, bisa foto2 dgn icon tugu jogja",2 bulan lalu
Ndaru Murti,5 bintang,"Bapak2 linmasnya keren. Selain mengatur jalan dan mengingatkan pakai masker, mrka jg ga segan mbantuin yg mau foto2. Spya tetap aman dan tdk berjibun di jalan.",5 tahun lalu
