User,Teks,Waktu,Sumber,Teks_Bersih
Rado Capcus,Shopee sudah bagus aplikasinya tapi sayang tiap belanja dari segi pengiriman sangat lambat tiap belanja pasti datang lebih dari seminggu. jadi kalo mau belanja di shopee harus belanja barang yang tidak buru2 mau di gunakan. kalo barang mau cepat di gunakan sebaiknya jangan belanja di shopee karena pengirimannya lambat.,3/8/2026 13:19,Shopee,shopee bagus aplikasinya sayang tiap belanja segi pengiriman lambat tiap belanja pasti datang seminggu mau belanja shopee harus belanja barang buru mau gunakan barang mau cepat gunakan sebaiknya belanja shopee pengirimannya lambat
Mobile 7,Bagus,3/8/2026 13:18,Shopee,bagus
Estomihi Rotama,"lama banget ngatar nya, udh berapa kali lapor cs tapi sama aja",3/8/2026 13:17,Shopee,lama banget ngatar udh berapa kali lapor
Jo Kause,aplikasi belanja online terpercaya,3/8/2026 13:15,Shopee,aplikasi belanja online terpercaya
Sakti Wicaksana,"aplikasinya lumayan tpi jasa kirim nya dari spx nya buruk sekali, masak paket dlm proses pengiriman tiba"" kembali ke gudang lgi",3/8/2026 13:14,Shopee,aplikasinya lumayan tpi jasa kirim spx buruk sekali masak paket dlm proses pengiriman tiba kembali gudang lgi
marmi kaliwungu,"beli di shopee harganya murah, kualitas barangnya nomor 1 (bagus)",3/8/2026 13:13,Shopee,beli shopee harganya murah kualitas barangnya nomor bagus
Tama Wisesa,"apk aneh, mesen makan driver gk dpet' aneh bgt anj tololl dri jam 2 pagi ampe subuh najiss bgt ampe gk puasa gra' gk saur dontollll",3/8/2026 13:08,Shopee,apk aneh mesen makan driver dpet aneh bgt anj tololl dri jam pagi ampe subuh najiss bgt ampe puasa gra saur dontollll
fitri 55,"semenjak ada sub total pengiriman khusus ongkirnya makin mahal, mendingan gw belanja di tiktok lebih murah ongkir.",3/8/2026 13:07,Shopee,semenjak sub total pengiriman khusus ongkirnya makin mahal mendingan belanja tiktok murah ongkir
Jaenal Abidin,Biarkan bintang yg brbicara,3/8/2026 13:07,Shopee,biarkan bintang brbicara
Agus Sugiarto,baik,3/8/2026 13:06,Shopee,baik
Bagong Hani,Real Real Real no hoax,3/8/2026 13:06,Shopee,real real real hoax
Erni Ernawati,Sangat membantu bisa belanja dari rumah dan mohon bisa ditambahkan fitur tuk bisa klik saat cek out dipembayaran sisa saldo shopeepay agar bisa nol sisa saldonya misal seperti klik koin,3/8/2026 13:06,Shopee,membantu belanja rumah mohon ditambahkan fitur tuk klik cek out dipembayaran sisa saldo shopeepay agar nol sisa saldonya misal klik koin
Balmon Miya,saran saya pas pengiriman tahap akhir nomor kurir nya di cantumin biar enak buat di hubungin duluan,3/8/2026 13:04,Shopee,saran pas pengiriman tahap akhir nomor kurir cantumin biar enak hubungin duluan
Imam Shypuden,mudah di gunakan,3/8/2026 13:03,Shopee,mudah gunakan
Reno 92,dengan adanya shopee kami sangat terbantu,3/8/2026 13:03,Shopee,adanya shopee terbantu
akuardi,"murah banyak diskon dan forcer, pengiriman barang cepat dan aman harga pun terjangkau",3/8/2026 13:03,Shopee,murah diskon forcer pengiriman barang cepat aman harga pun terjangkau
nasoi,belanja dishopee serba ada lengkap dan harganya terjangkau sangat memanjakan pelanggan,3/8/2026 13:02,Shopee,belanja dishopee serba lengkap harganya terjangkau memanjakan pelanggan
Akhmad Mustaqim,saya kehilangan akun bagaimana cara mengembalika akun yang dulu,3/8/2026 13:01,Shopee,kehilangan akun bagaimana cara mengembalika akun dulu
Life Story,"kok sekarang shopee ada iklannya ya menutupi konten yang kita lihat, misal kita sedang melihat toko untuk belanja tiba tiba muncul iklan kan kesal mana iklannya lama lagi...",3/8/2026 13:00,Shopee,kok sekarang shopee iklannya menutupi konten lihat misal sedang melihat toko belanja tiba tiba muncul iklan kan kesal mana iklannya lama
kelana nur,kebanyakan verifikasi!,3/8/2026 12:59,Shopee,kebanyakan verifikasi
Rina faurina,keren,3/8/2026 12:57,Shopee,keren
RIZKY HIDAYAT,barang bagus dan murah tapi kadang jelek dan suka ada promo dan gratis ongkir,3/8/2026 12:55,Shopee,barang bagus murah kadang jelek suka promo gratis ongkir
Diah Elokfarikoh,ok,3/8/2026 12:54,Shopee,
Ferry Prayinto,saya kasih bintang 3 karena belom sempurna untuk pengajuan pertama SPinjam di ACC berikutnya selalu ditolak dan saldo tidak naik2 padahal sudah membayar lunas ditambah lagi Spaylater saldo tidak pernah naik2 limit,3/8/2026 12:53,Shopee,kasih bintang belom sempurna pengajuan pertama spinjam acc berikutnya selalu ditolak saldo naik padahal membayar lunas ditambah spaylater saldo pernah naik limit
